STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/05/2013,11.41,0.05,0,44,48,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/05/2013,6.93,0.02,0,55,71,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/05/2013,9.4,0,0,58,69,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",06/05/2013,8.05,0,0,60,71,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",07/05/2013,5.82,0,0,61,75,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",08/05/2013,5.14,0,0,65,79,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",09/05/2013,5.82,0.32,0,64,75,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/05/2013,10.07,0.13,0,47,47,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/05/2013,12.75,0,0,50,60,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/05/2013,11.18,0,0,46,55,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/05/2013,5.82,0,0,48,64,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/05/2013,11.63,0,0,65,91,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/05/2013,8.5,0,0,76,84,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/05/2013,4.92,0,0,70,83,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/05/2013,6.71,0,0,61,70,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/05/2013,6.49,0,0,66,80,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/05/2013,7.61,0,0,72,86,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/05/2013,13.65,1.09,0,80,89,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/05/2013,12.08,0.56,0,73,81,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/05/2013,7.38,1.35,0,69,73,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/05/2013,14.76,0.06,0,54,54,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/05/2013,8.05,0,0,48,57,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/05/2013,5.14,0,0,50,57,44
